time,close
949363200,0.8
951868800,1.2
954547200,1.5
957139200,1.6
959817600,1.5
962409600,0.9
965088000,0.8
967766400,0.7
970358400,0.6
973036800,0.7
975628800,0.7
978307200,0.7
980985600,0.6
983404800,0.9
986083200,1
988675200,0.8
991353600,0.9
993945600,0.8
996624000,0.8
999302400,0.6
1001894400,0.4
1004572800,0.2
1007164800,-0.1
1009843200,0.2
1012521600,0.3
1014940800,1
1017619200,1.3
1020211200,1.6
1022889600,1.6
1025481600,1.4
1028160000,1.2
1030838400,0.9
1033430400,0.8
1036108800,0.6
1038700800,0.6
1041379200,0.4
1044057600,0.4
1046476800,0.7
1049155200,1
1051747200,1.1
1054425600,0.9
1057017600,1.1
1059696000,1.1
1062374400,1.2
1064966400,1.1
1067644800,0.9
1070236800,0.9
1072915200,0.8
1075593600,0.9
1078099200,1.6
1080777600,1.9
1083369600,2
1086048000,2
1088640000,1.6
1091318400,1.1
1093996800,1
1096588800,0.8
1099267200,0.7
1101859200,0.7
1104537600,0.9
1107216000,1.2
1109635200,1.6
1112313600,1.6
1114905600,1.6
1117584000,1.5
1120176000,1.4
1122854400,1.2
1125532800,1.2
1128124800,1
1130803200,0.8
1133395200,0.5
1136073600,0.2
1138752000,0.4
1141171200,0.2
1143849600,0.6
1146441600,0.5
1149120000,0.3
1151712000,0.1
1154390400,-0.2
1157068800,-0.2
1159660800,-0.2
1162339200,-0.4
1164931200,-0.6
1167609600,-0.5
1170288000,-0.4
1172707200,-0.3
1175385600,-0.2
1177977600,-0.2
1180656000,-0.3
1183248000,-0.4
1185926400,-0.7
1188604800,-0.9
1191196800,-1.4
1193875200,-2.1
1196467200,-2.1
1199145600,-2.3
1201824000,-2.6
1204329600,-2.1
1207008000,-1.3
1209600000,-0.8
1212278400,-0.5
1214870400,-0.8
1217548800,-1
1220227200,-1.8
1222819200,-2.2
1225497600,-2.3
1228089600,-2.6
1230768000,-2.8
1233446400,-2.2
1235865600,-2.1
1238544000,-0.6
1241136000,0.5
1243814400,1.4
1246406400,1.7
1249084800,1.2
1251763200,0.4
1254355200,-0.1
1257033600,-0.2
1259625600,-0.2
1262304000,-0.4
1264982400,-0.9
1267401600,-0.5
1270080000,0.9
1272672000,1.3
1275350400,1
1277942400,0.6
1280620800,-0.3
1283299200,-0.8
1285891200,-1.4
1288569600,-1
1291161600,-1
1293840000,-1.1
1296518400,-1.2
1298937600,-1
1301616000,0.6
1304208000,1
1306886400,1.2
1309478400,1
1312156800,0.1
1314835200,-0.7
1317427200,-1.4
1320105600,-1.3
1322697600,-1.1
1325376000,-1
1328054400,-0.8
1330560000,0
1333238400,1.4
1335830400,2.4
1338508800,2.3
1341100800,1.6
1343779200,0.9
1346457600,0.3
1349049600,-0.1
1351728000,-0.2
1354320000,0.2
1356998400,0
1359676800,0.2
1362096000,1.3
1364774400,2.6
1367366400,2.5
1370044800,2.2
1372636800,1.8
1375315200,1.3
1377993600,0.7
1380585600,0.2
1383264000,-0.1
1385856000,-0.1
1388534400,-0.1
1391212800,0
1393632000,0.9
1396310400,1.2
1398902400,1.1
1401580800,1
1404172800,0.6
1406851200,0.2
1409529600,-0.1
1412121600,-0.1
1414800000,-0.2
1417392000,0
1420070400,-0.1
1422748800,0.5
1425168000,0.9
1427846400,1.1
1430438400,1.1
1433116800,1
1435708800,0.7
1438387200,0.3
1441065600,0.1
1443657600,0
1446336000,0
1448928000,0
1451606400,0
1454284800,0.2
1456790400,1
1459468800,1.1
1462060800,0.9
1464739200,0.8
1467331200,0.6
1470009600,0.3
1472688000,0.1
1475280000,0
1477958400,0.2
1480550400,0.2
1483228800,0.2
1485907200,0.4
1488326400,1
1491004800,1
1493596800,0.9
1496275200,0.7
1498867200,0.7
1501545600,0.4
1504224000,0.3
1506816000,0.2
1509494400,0.2
1512086400,0.2
1514764800,0.3
1517443200,0.7
1519862400,1
1522540800,0.9
1525132800,0.7
1527811200,0.6
1530403200,0.3
1533081600,0
1535760000,0
1538352000,-0.1
1541030400,-0.2
1543622400,-0.3
1546300800,-0.3
1548979200,0.1
1551398400,0.7
1554076800,0.8
1556668800,0.6
1559347200,0.4
1561939200,0.2
1564617600,0
1567296000,0.1
1569888000,0.1
1572566400,0.1
1575158400,0
1577836800,0
1580515200,0.5
1583020800,1.1
1585699200,0.8
1588291200,0.3
1590969600,0.3
1593561600,0.8
1596240000,1.2
1598918400,1.3
1601510400,1.4
1604188800,1.1
1606780800,0.9
1609459200,1
1612137600,1.3
1614556800,2.3
1617235200,2.2
1619827200,2.1
1622505600,2
1625097600,1.5
1627776000,0.9
1630454400,0.9
1633046400,0.8
1635724800,1
1638316800,1.1
1640995200,1.4
1643673600,2.5
1646092800,3.1
1648771200,2.3
1651363200,1.5
1654041600,0.4
1656633600,-0.8
1659312000,-1.6
1661990400,-1.5
1664582400,-0.8
1667260800,-0.7
1669852800,-0.9
1672531200,-0.5
1675209600,0.2
1677628800,1.5
1680307200,1.6
1682899200,1.4
1685577600,0.9
1688169600,0.6
1690848000,0.4
1693526400,0.2
1696118400,0.1
1698796800,-0.2
1701388800,-0.3
1704067200,-0.1
1706745600,0.9
1709251200,1.6
1711929600,1.4
1714521600,1
1717200000,0.6
1719792000,0